,Date,Open,High,Low,Close,Adj Close,Volume
0,2004-04-19,0.502143,0.513393,0.496964,0.50625,0.428591,712353600
1,2004-04-20,0.50375,0.507321,0.492143,0.495179,0.419218,354519200
2,2004-04-21,0.492857,0.502143,0.48875,0.495179,0.419218,325875200
3,2004-04-22,0.492143,0.503214,0.484107,0.496071,0.419973,344584800
4,2004-04-23,0.494643,0.5,0.483036,0.494643,0.418765,315828800
5,2004-04-26,0.4925,0.493571,0.482143,0.484464,0.410147,231128800
6,2004-04-27,0.486429,0.49,0.476607,0.481071,0.407274,283864000
7,2004-04-28,0.478929,0.482321,0.470357,0.472321,0.399867,231168000
8,2004-04-29,0.472321,0.482143,0.463929,0.478036,0.404705,460790400
9,2004-04-30,0.476964,0.481429,0.455179,0.460357,0.389738,466502400
10,2004-05-03,0.464286,0.470179,0.459643,0.465536,0.394122,297634400
11,2004-05-04,0.46375,0.474107,0.455357,0.466786,0.395181,279983200
12,2004-05-05,0.467857,0.477679,0.463571,0.475893,0.402891,238106400
13,2004-05-06,0.471429,0.477679,0.4625,0.474643,0.401832,263558400
14,2004-05-07,0.474107,0.492321,0.474107,0.47625,0.403193,419036800
15,2004-05-10,0.469107,0.475,0.463214,0.469286,0.397297,249978400
16,2004-05-11,0.471429,0.485536,0.471429,0.484643,0.410299,305172000
17,2004-05-12,0.478393,0.488214,0.468571,0.4875,0.412717,245420000
18,2004-05-13,0.483929,0.495,0.480357,0.485536,0.411055,229852000
19,2004-05-14,0.486607,0.487857,0.472321,0.483214,0.409089,257801600
20,2004-05-17,0.476786,0.483214,0.470714,0.475714,0.402739,300445600
21,2004-05-18,0.481607,0.487321,0.478571,0.483214,0.409089,206063200
22,2004-05-19,0.489286,0.491071,0.471786,0.472679,0.40017,375592000
23,2004-05-20,0.475536,0.482143,0.472679,0.476964,0.403797,196296800
24,2004-05-21,0.480357,0.485714,0.477321,0.484107,0.409845,179894400
25,2004-05-24,0.487321,0.498214,0.484107,0.488214,0.413322,235603200
26,2004-05-25,0.491071,0.509107,0.487321,0.507321,0.429498,319978400
27,2004-05-26,0.505893,0.513929,0.5,0.509107,0.43101,322168000
28,2004-05-27,0.508214,0.510714,0.496786,0.503036,0.42587,235972800
29,2004-05-28,0.501429,0.504821,0.496429,0.501071,0.424207,145717600
30,2004-06-01,0.49625,0.503571,0.493036,0.501071,0.424207,182134400
31,2004-06-02,0.500536,0.520893,0.496429,0.516429,0.437209,318712800
32,2004-06-03,0.512857,0.517679,0.505179,0.507143,0.429347,250930400
33,2004-06-04,0.51,0.522321,0.509107,0.513929,0.435092,399112000
34,2004-06-07,0.518571,0.535357,0.514464,0.532321,0.450663,295876000
35,2004-06-08,0.535536,0.543571,0.532679,0.541964,0.458827,415620800
36,2004-06-09,0.537321,0.548393,0.535714,0.539286,0.456559,349204800
37,2004-06-10,0.539286,0.553036,0.539286,0.548929,0.464723,257577600
38,2004-06-14,0.547321,0.547857,0.526786,0.537857,0.455349,243986400
39,2004-06-15,0.545357,0.556071,0.540357,0.548036,0.463967,444634400
40,2004-06-16,0.5475,0.595,0.545179,0.584643,0.494959,909641600
41,2004-06-17,0.581429,0.591607,0.575179,0.585893,0.496017,551320000
42,2004-06-18,0.583214,0.596607,0.579107,0.587679,0.497529,406252000
43,2004-06-21,0.591429,0.598214,0.573571,0.577321,0.48876,390213600
44,2004-06-22,0.576786,0.590893,0.576607,0.589286,0.498889,360511200
45,2004-06-23,0.589286,0.604107,0.587321,0.601786,0.509472,390868800
46,2004-06-24,0.598393,0.601786,0.588929,0.5925,0.50161,252515200
47,2004-06-25,0.590536,0.601786,0.589286,0.601786,0.509472,323428000
48,2004-06-28,0.610357,0.610536,0.575179,0.580179,0.491179,521096800
49,2004-06-29,0.572679,0.589107,0.560893,0.580357,0.49133,590553600
50,2004-06-30,0.581429,0.58875,0.569464,0.581071,0.491934,373044000
51,2004-07-01,0.573214,0.58,0.569643,0.576786,0.488307,341941600
52,2004-07-02,0.544286,0.556786,0.530893,0.555,0.469863,910683200
53,2004-07-06,0.558393,0.561071,0.55,0.552679,0.467898,348980800
54,2004-07-07,0.550893,0.56,0.538036,0.542679,0.459432,397992000
55,2004-07-08,0.538036,0.547857,0.534821,0.538214,0.455652,233380000
56,2004-07-09,0.540536,0.544643,0.53625,0.53625,0.453989,208863200
57,2004-07-12,0.536071,0.536429,0.516607,0.520357,0.440534,511621600
58,2004-07-13,0.522321,0.528571,0.518214,0.521786,0.441744,316176000
59,2004-07-14,0.515357,0.535179,0.513214,0.528214,0.447186,835800000
60,2004-07-15,0.583214,0.600536,0.573393,0.588036,0.497831,1767724000
61,2004-07-16,0.585714,0.587857,0.573571,0.575,0.486795,488381600
62,2004-07-19,0.571607,0.575357,0.565357,0.570893,0.483318,533170400
63,2004-07-20,0.570536,0.575,0.563393,0.575,0.486795,323747200
64,2004-07-21,0.578929,0.584107,0.559643,0.564643,0.478027,301257600
65,2004-07-22,0.558036,0.566607,0.554643,0.565714,0.478933,334118400
66,2004-07-23,0.563036,0.566964,0.544286,0.548214,0.464118,273571200
67,2004-07-26,0.550893,0.561607,0.549643,0.558214,0.472584,393932000
68,2004-07-27,0.567857,0.584821,0.56375,0.579107,0.490272,425006400
69,2004-07-28,0.576964,0.57875,0.556429,0.57625,0.487853,285051200
70,2004-07-29,0.579821,0.586071,0.57375,0.582857,0.493446,222157600
71,2004-07-30,0.583036,0.589286,0.571429,0.5775,0.488911,243023200
72,2004-08-02,0.556786,0.575,0.555893,0.563929,0.477422,365092000
